380 Bracelet2 1.5e+007 -1 -1
235 Chair2 3.2e+008 -1 -1
332 Table2 2.5e+006 -1 -1
283 Mirror2 1.75e+006 -1 -1
325 Painting3 4.5e+006 -1 -1
310 Sculpture3 6e+007 -1 -1
237 Clock3 2.3e+006 -1 -1
315 Necklace3 1.2e+007 -1 -1
270 Ring3 2e+008 -1 -1
220 Diamond3 4.5e+006 -1 -1
228 Goblet3 9e+006 -1 -1
300 Pendant3 1.5e+006 -1 -1
377 Bracelet3 3.2e+007 -1 -1
233 Chair3 4e+006 -1 -1
399 Table3 5e+007 -1 -1
388 Mirror3 2.8e+006 -1 -1
202 Painting4 2.3e+006 -1 -1
250 Sculpture4 1.9e+007 -1 -1
279 Clock4 3.4e+006 -1 -1
361 Necklace4 4.2e+008 -1 -1
225 Ring4 3.1e+006 -1 -1
211 Diamond4 1.3e+006 -1 -1
337 Goblet4 2e+007 -1 -1
274 Pendant4 4.5e+006 -1 -1
387 Bracelet4 1.5e+007 -1 -1
394 Chair4 2.5e+008 -1 -1
338 Table4 1.3e+006 -1 -1
299 Mirror4 4.7e+006 -1 -1
213 Painting5 9.8e+006 -1 -1
377 Mirror5 4.6e+006 -1 -1
